location,count,link
"in",1281,"http://localhost:4000/browse.html#in"
"ma",1129,"http://localhost:4000/browse.html#ma"
"mi",792,"http://localhost:4000/browse.html#mi"
"pa",693,"http://localhost:4000/browse.html#pa"
"ny",693,"http://localhost:4000/browse.html#ny"
"oh",574,"http://localhost:4000/browse.html#oh"
"ct",455,"http://localhost:4000/browse.html#ct"
"nh",420,"http://localhost:4000/browse.html#nh"
"il",398,"http://localhost:4000/browse.html#il"
"ca",263,"http://localhost:4000/browse.html#ca"
"me",252,"http://localhost:4000/browse.html#me"
"ri",250,"http://localhost:4000/browse.html#ri"
"nj",235,"http://localhost:4000/browse.html#nj"
"new york",211,"http://localhost:4000/browse.html#new%20york"
"philadelphia",203,"http://localhost:4000/browse.html#philadelphia"
"md",202,"http://localhost:4000/browse.html#md"
"ky",194,"http://localhost:4000/browse.html#ky"
"boston",177,"http://localhost:4000/browse.html#boston"
"washington",151,"http://localhost:4000/browse.html#washington"
"mn",151,"http://localhost:4000/browse.html#mn"
"tn",147,"http://localhost:4000/browse.html#tn"
"ia",143,"http://localhost:4000/browse.html#ia"
"mo",132,"http://localhost:4000/browse.html#mo"
"vt",130,"http://localhost:4000/browse.html#vt"
"wi",121,"http://localhost:4000/browse.html#wi"
"va",120,"http://localhost:4000/browse.html#va"
"baltimore",119,"http://localhost:4000/browse.html#baltimore"
"sc",116,"http://localhost:4000/browse.html#sc"
"dc",105,"http://localhost:4000/browse.html#dc"
"nc",91,"http://localhost:4000/browse.html#nc"
"tx",82,"http://localhost:4000/browse.html#tx"
"la",79,"http://localhost:4000/browse.html#la"
"cincinnati",77,"http://localhost:4000/browse.html#cincinnati"
"san francisco",68,"http://localhost:4000/browse.html#san%20francisco"
"jackson",67,"http://localhost:4000/browse.html#jackson"
"providence",67,"http://localhost:4000/browse.html#providence"
"ga",66,"http://localhost:4000/browse.html#ga"
"chicago",66,"http://localhost:4000/browse.html#chicago"
"ks",66,"http://localhost:4000/browse.html#ks"
"salem",58,"http://localhost:4000/browse.html#salem"
"st. louis",57,"http://localhost:4000/browse.html#st.%20louis"
"ut",53,"http://localhost:4000/browse.html#ut"
"springfield",52,"http://localhost:4000/browse.html#springfield"
"wv",49,"http://localhost:4000/browse.html#wv"
"or",48,"http://localhost:4000/browse.html#or"
"new orleans",48,"http://localhost:4000/browse.html#new%20orleans"
"richmond",46,"http://localhost:4000/browse.html#richmond"
"columbia",44,"http://localhost:4000/browse.html#columbia"
"ms",43,"http://localhost:4000/browse.html#ms"
"madison",43,"http://localhost:4000/browse.html#madison"
"franklin",40,"http://localhost:4000/browse.html#franklin"
"lexington",40,"http://localhost:4000/browse.html#lexington"
"worcester",39,"http://localhost:4000/browse.html#worcester"
"albany",38,"http://localhost:4000/browse.html#albany"
"charleston",38,"http://localhost:4000/browse.html#charleston"
"cambridge",38,"http://localhost:4000/browse.html#cambridge"
"brooklyn",37,"http://localhost:4000/browse.html#brooklyn"
"union",37,"http://localhost:4000/browse.html#union"
"nashville",36,"http://localhost:4000/browse.html#nashville"
"lancaster",36,"http://localhost:4000/browse.html#lancaster"
"newark",36,"http://localhost:4000/browse.html#newark"
"louisville",35,"http://localhost:4000/browse.html#louisville"
"burlington",34,"http://localhost:4000/browse.html#burlington"
"rochester",34,"http://localhost:4000/browse.html#rochester"
"concord",34,"http://localhost:4000/browse.html#concord"
"warren",33,"http://localhost:4000/browse.html#warren"
"georgetown",32,"http://localhost:4000/browse.html#georgetown"
"pittsburgh",31,"http://localhost:4000/browse.html#pittsburgh"
"cleveland",31,"http://localhost:4000/browse.html#cleveland"
"al",31,"http://localhost:4000/browse.html#al"
"jefferson",30,"http://localhost:4000/browse.html#jefferson"
"portsmouth",30,"http://localhost:4000/browse.html#portsmouth"
"buffalo",30,"http://localhost:4000/browse.html#buffalo"
"hartford",30,"http://localhost:4000/browse.html#hartford"
"columbus",29,"http://localhost:4000/browse.html#columbus"
"newport",29,"http://localhost:4000/browse.html#newport"
"new haven",29,"http://localhost:4000/browse.html#new%20haven"
"de",29,"http://localhost:4000/browse.html#de"
"portland",29,"http://localhost:4000/browse.html#portland"
"oxford",28,"http://localhost:4000/browse.html#oxford"
"harrison",26,"http://localhost:4000/browse.html#harrison"
"liberty",25,"http://localhost:4000/browse.html#liberty"
"clinton",25,"http://localhost:4000/browse.html#clinton"
"ne",24,"http://localhost:4000/browse.html#ne"
"monroe",23,"http://localhost:4000/browse.html#monroe"
"lebanon",23,"http://localhost:4000/browse.html#lebanon"
"reading",23,"http://localhost:4000/browse.html#reading"
"indianapolis",22,"http://localhost:4000/browse.html#indianapolis"
"dover",22,"http://localhost:4000/browse.html#dover"
"troy",21,"http://localhost:4000/browse.html#troy"
"memphis",21,"http://localhost:4000/browse.html#memphis"
"newton",21,"http://localhost:4000/browse.html#newton"
"wilmington",21,"http://localhost:4000/browse.html#wilmington"
"minneapolis",21,"http://localhost:4000/browse.html#minneapolis"
"wa",21,"http://localhost:4000/browse.html#wa"
"lowell",20,"http://localhost:4000/browse.html#lowell"
"northfield",20,"http://localhost:4000/browse.html#northfield"
"co",19,"http://localhost:4000/browse.html#co"
"clay",19,"http://localhost:4000/browse.html#clay"
"fairfield",19,"http://localhost:4000/browse.html#fairfield"
"chester",19,"http://localhost:4000/browse.html#chester"
"augusta",19,"http://localhost:4000/browse.html#augusta"
"st. paul",18,"http://localhost:4000/browse.html#st.%20paul"
"canton",18,"http://localhost:4000/browse.html#canton"
"bristol",18,"http://localhost:4000/browse.html#bristol"
"middletown",18,"http://localhost:4000/browse.html#middletown"
"bloomington",18,"http://localhost:4000/browse.html#bloomington"
"trenton",18,"http://localhost:4000/browse.html#trenton"
"greenville",18,"http://localhost:4000/browse.html#greenville"
"milwaukee",17,"http://localhost:4000/browse.html#milwaukee"
"wayne",17,"http://localhost:4000/browse.html#wayne"
"paterson",17,"http://localhost:4000/browse.html#paterson"
"easton",17,"http://localhost:4000/browse.html#easton"
"marion",17,"http://localhost:4000/browse.html#marion"
"manchester",17,"http://localhost:4000/browse.html#manchester"
"hanover",17,"http://localhost:4000/browse.html#hanover"
"athens",17,"http://localhost:4000/browse.html#athens"
"bangor",16,"http://localhost:4000/browse.html#bangor"
"jacksonville",16,"http://localhost:4000/browse.html#jacksonville"
"haverhill",16,"http://localhost:4000/browse.html#haverhill"
"plymouth",16,"http://localhost:4000/browse.html#plymouth"
"st. joseph",15,"http://localhost:4000/browse.html#st.%20joseph"
"ann arbor",15,"http://localhost:4000/browse.html#ann%20arbor"
"utica",15,"http://localhost:4000/browse.html#utica"
"princeton",15,"http://localhost:4000/browse.html#princeton"
"watertown",15,"http://localhost:4000/browse.html#watertown"
