PLUS,McMullen,State,Locality,Name,Type,Found_Date,First_Ref,Latest_Ref,Cess_Date,ED_for_Size,Size_at_ED,LD_for_Size,Size_at_LD,objectid,object_thumb,object_location,reference_url
"9999","0","MA","Quincy","Quincy Circulating Library","Comm","","","","","","","","","rec9807","https://puliiif-staging.princeton.edu/iiif/2/davies%2F00000/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F00000/full/full/0/default.jpg","http://localhost:4000/items/rec9807.html"
"5928","2599","MA","Cambridge","Harvard College Library","Coll","1638","","1884","","1837","42000","1895","154000","rec5849","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02599/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02599/full/full/0/default.jpg","http://localhost:4000/items/rec5849.html"
"7990","538","CT","New Haven","Town Library","Public","1656","","","1689","1658","100","1658","100","rec7904","https://puliiif-staging.princeton.edu/iiif/2/davies%2F00538/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F00538/full/full/0/default.jpg","http://localhost:4000/items/rec7904.html"
"8168","2514","MA","Boston","Keayne Library","Public","1656","","","1747","","0","","0","rec8082","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02514/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02514/full/full/0/default.jpg","http://localhost:4000/items/rec8082.html"
"8185","2661","MA","Concord","Town Public Library","Public","1672","","1672","","","0","","0","rec8099","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02661/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02661/full/full/0/default.jpg","http://localhost:4000/items/rec8099.html"
"6155","6682","VA","Williamsburg","William and Mary College Library","Coll","1693","","1884","","1845","5000","1875","5000","rec6075","https://puliiif-staging.princeton.edu/iiif/2/davies%2F06682/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F06682/full/full/0/default.jpg","http://localhost:4000/items/rec6075.html"
"7496","2389","MD","Somerset","Somerset Parish","Church","1696","","1696","","","0","","0","rec7411","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02389/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02389/full/full/0/default.jpg","http://localhost:4000/items/rec7411.html"
"7497","2390","MD","South River?","South River Parish by Bray","Church","1696","","1696","","","0","","0","rec7412","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02390/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02390/full/full/0/default.jpg","http://localhost:4000/items/rec7412.html"
"7498","2391","MD","South Sassafres?","South Sassafres Parish by Bray","Church","1696","","1696","","","0","","0","rec7413","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02391/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02391/full/full/0/default.jpg","http://localhost:4000/items/rec7413.html"
"7499","2392","MD","Snow Hill?","Snow Hill Parish","Church","1696","","1696","","","0","","0","rec7414","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02392/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02392/full/full/0/default.jpg","http://localhost:4000/items/rec7414.html"
"7500","2393","MD","Stepney?","Stepney Parish","Church","1696","","1696","","","0","","0","rec7415","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02393/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02393/full/full/0/default.jpg","http://localhost:4000/items/rec7415.html"
"7501","2398","MD","Charles County","William and Mary Parish","Church","1696","","1696","","","0","","0","rec7416","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02398/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02398/full/full/0/default.jpg","http://localhost:4000/items/rec7416.html"
"7502","2378","MD","Baltimore","St. George&#39;s Parish","Church","1696","","1696","","","0","","0","rec7417","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02378/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02378/full/full/0/default.jpg","http://localhost:4000/items/rec7417.html"
"7503","2379","MD","Baltimore","St. John&#39;s Parish","Church","1696","","1696","","","0","","0","rec7418","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02379/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02379/full/full/0/default.jpg","http://localhost:4000/items/rec7418.html"
"7506","2380","MD","","St. Mary&#39;s Parish","Church","1696","","1702","","","0","","0","rec7421","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02380/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02380/full/full/0/default.jpg","http://localhost:4000/items/rec7421.html"
"7507","2381","MD","Talbot County","St. Michael&#39;s Parish","Church","1696","","1696","","","0","","0","rec7422","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02381/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02381/full/full/0/default.jpg","http://localhost:4000/items/rec7422.html"
"7508","2382","MD","Baltimore","St. Paul&#39;s Parish","Church","1696","","1696","","","0","","0","rec7423","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02382/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02382/full/full/0/default.jpg","http://localhost:4000/items/rec7423.html"
"7509","2383","MD","Calvert County","St. Paul&#39;s Parish","Church","1696","","1696","","","0","","0","rec7424","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02383/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02383/full/full/0/default.jpg","http://localhost:4000/items/rec7424.html"
"7510","2384","MD","Kent County","St. Paul&#39;s Parish","Church","1696","","1696","","","0","","0","rec7425","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02384/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02384/full/full/0/default.jpg","http://localhost:4000/items/rec7425.html"
"7511","2385","MD","Talbot County","St. Paul&#39;s Parish","Church","1696","","1696","","","0","","0","rec7426","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02385/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02385/full/full/0/default.jpg","http://localhost:4000/items/rec7426.html"
"7512","2386","MD","Talbot County","St. Peter&#39;s Parish","Church","1696","","1696","","","0","","0","rec7427","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02386/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02386/full/full/0/default.jpg","http://localhost:4000/items/rec7427.html"
"7513","2373","MD","","North Sessafres Parish","Church","1696","","1696","","","0","","0","rec7428","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02373/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02373/full/full/0/default.jpg","http://localhost:4000/items/rec7428.html"
"7514","2374","MD","Charles County","Piscatoway? Parish","Church","1696","","1696","","","0","","0","rec7429","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02374/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02374/full/full/0/default.jpg","http://localhost:4000/items/rec7429.html"
"7515","2375","MD","Baltimore","Porto Batto Parish","Church","1696","","1696","","","0","","0","rec7430","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02375/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02375/full/full/0/default.jpg","http://localhost:4000/items/rec7430.html"
"7517","2370","MD","Charles County","Nanjemoy Parish","Church","1696","","1701","","1701","69","1701","69","rec7432","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02370/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02370/full/full/0/default.jpg","http://localhost:4000/items/rec7432.html"
"7519","2365","MD","","Kent Island Parish","Church","1696","","1696","","","0","","0","rec7434","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02365/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02365/full/full/0/default.jpg","http://localhost:4000/items/rec7434.html"
"7520","2366","MD","","King and Queen&#39;s Parish - by Thomas Bray","Church","1696","","1696","","","0","","0","rec7435","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02366/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02366/full/full/0/default.jpg","http://localhost:4000/items/rec7435.html"
