subject,count,link
"socl",2519,"http://localhost:4000/browse.html#socl"
"town",1566,"http://localhost:4000/browse.html#town"
"comm",561,"http://localhost:4000/browse.html#comm"
"coll",505,"http://localhost:4000/browse.html#coll"
"coll socy",495,"http://localhost:4000/browse.html#coll%20socy"
"public",399,"http://localhost:4000/browse.html#public"
"church",358,"http://localhost:4000/browse.html#church"
"agri socl",325,"http://localhost:4000/browse.html#agri%20socl"
"mech",234,"http://localhost:4000/browse.html#mech"
"asylum",226,"http://localhost:4000/browse.html#asylum"
"ymca",190,"http://localhost:4000/browse.html#ymca"
"garr",148,"http://localhost:4000/browse.html#garr"
"theo coll",143,"http://localhost:4000/browse.html#theo%20coll"
"frat",123,"http://localhost:4000/browse.html#frat"
"lyceum",123,"http://localhost:4000/browse.html#lyceum"
"socy",102,"http://localhost:4000/browse.html#socy"
"ladies",100,"http://localhost:4000/browse.html#ladies"
"sci eng socy",98,"http://localhost:4000/browse.html#sci%20eng%20socy"
"hist socl",93,"http://localhost:4000/browse.html#hist%20socl"
"med coll",82,"http://localhost:4000/browse.html#med%20coll"
"yma",80,"http://localhost:4000/browse.html#yma"
"prison",80,"http://localhost:4000/browse.html#prison"
"rel socl",79,"http://localhost:4000/browse.html#rel%20socl"
"athen",76,"http://localhost:4000/browse.html#athen"
"co law",67,"http://localhost:4000/browse.html#co%20law"
"read room",60,"http://localhost:4000/browse.html#read%20room"
"hosp",52,"http://localhost:4000/browse.html#hosp"
"rel socy",52,"http://localhost:4000/browse.html#rel%20socy"
"state",50,"http://localhost:4000/browse.html#state"
"us gov",47,"http://localhost:4000/browse.html#us%20gov"
"lit socy",45,"http://localhost:4000/browse.html#lit%20socy"
"law socl",45,"http://localhost:4000/browse.html#law%20socl"
"theo socy",44,"http://localhost:4000/browse.html#theo%20socy"
"law state",42,"http://localhost:4000/browse.html#law%20state"
"fire",39,"http://localhost:4000/browse.html#fire"
"juv socl",36,"http://localhost:4000/browse.html#juv%20socl"
"med socy",34,"http://localhost:4000/browse.html#med%20socy"
"merc",34,"http://localhost:4000/browse.html#merc"
"law coll",33,"http://localhost:4000/browse.html#law%20coll"
"mill",28,"http://localhost:4000/browse.html#mill"
"law",28,"http://localhost:4000/browse.html#law"
"young men's",27,"http://localhost:4000/browse.html#young%20men's"
"appren",27,"http://localhost:4000/browse.html#appren"
"ymla",25,"http://localhost:4000/browse.html#ymla"
"bar",23,"http://localhost:4000/browse.html#bar"
"trade",22,"http://localhost:4000/browse.html#trade"
"sci eng coll",22,"http://localhost:4000/browse.html#sci%20eng%20coll"
"ladies' socy",20,"http://localhost:4000/browse.html#ladies'%20socy"
"music socy",19,"http://localhost:4000/browse.html#music%20socy"
"gov",18,"http://localhost:4000/browse.html#gov"
"for lang socy",17,"http://localhost:4000/browse.html#for%20lang%20socy"
"agri coll",17,"http://localhost:4000/browse.html#agri%20coll"
"agri state",15,"http://localhost:4000/browse.html#agri%20state"
"mil acad",10,"http://localhost:4000/browse.html#mil%20acad"
"art socy",9,"http://localhost:4000/browse.html#art%20socy"
"co theo",8,"http://localhost:4000/browse.html#co%20theo"
"bus coll",7,"http://localhost:4000/browse.html#bus%20coll"
"co edu",7,"http://localhost:4000/browse.html#co%20edu"
"book",6,"http://localhost:4000/browse.html#book"
"mil socl",6,"http://localhost:4000/browse.html#mil%20socl"
"terr",6,"http://localhost:4000/browse.html#terr"
"pl owned",6,"http://localhost:4000/browse.html#pl%20owned"
"sem",5,"http://localhost:4000/browse.html#sem"
"med socl",5,"http://localhost:4000/browse.html#med%20socl"
"read club",4,"http://localhost:4000/browse.html#read%20club"
"sci gov",4,"http://localhost:4000/browse.html#sci%20gov"
"bus law",4,"http://localhost:4000/browse.html#bus%20law"
"wn socy",3,"http://localhost:4000/browse.html#wn%20socy"
"rr",2,"http://localhost:4000/browse.html#rr"
"co sci",2,"http://localhost:4000/browse.html#co%20sci"
"co med",2,"http://localhost:4000/browse.html#co%20med"
"lib assoc",2,"http://localhost:4000/browse.html#lib%20assoc"
"edu",2,"http://localhost:4000/browse.html#edu"
"wn lib",2,"http://localhost:4000/browse.html#wn%20lib"
"socl-strict",2,"http://localhost:4000/browse.html#socl-strict"
"med",2,"http://localhost:4000/browse.html#med"
"mil coll",1,"http://localhost:4000/browse.html#mil%20coll"
"work men",1,"http://localhost:4000/browse.html#work%20men"
"dentist",1,"http://localhost:4000/browse.html#dentist"
"germ socl",1,"http://localhost:4000/browse.html#germ%20socl"
"rel coll",1,"http://localhost:4000/browse.html#rel%20coll"
"ywca",1,"http://localhost:4000/browse.html#ywca"
"art coll",1,"http://localhost:4000/browse.html#art%20coll"
